f 1m 1f 2m 2f 3m 3f jL1m jL1f jL2m jL2f jV0300m jV0300f 
2172.95 30.0002 0.00349712 2 90 2 90 0.000415039 61.9304 0.000184729 -97.5911 3.0002 -179.993
2182.96 30.0002 0.00348109 2 90 2 90 0.000413136 61.9304 0.000183882 -97.5912 3.00019 -179.993
2192.97 30.0002 0.0034652 2 90 2 90 0.00041125 61.9304 0.000183043 -97.5912 3.00019 -179.993
2202.98 30.0002 0.00344946 2 90 2 90 0.000409382 61.9304 0.000182211 -97.5912 3.00019 -179.993
2212.99 30.0002 0.00343385 2 90 2 90 0.00040753 61.9304 0.000181387 -97.5912 3.00019 -179.993
2223 30.0002 0.00341839 2 90 2 90 0.000405696 61.9304 0.000180571 -97.5912 3.00019 -179.993
2233.01 30.0002 0.00340307 2 90 2 90 0.000403877 61.9304 0.000179761 -97.5912 3.00019 -179.993
2243.02 30.0002 0.00338789 2 90 2 90 0.000402075 61.9303 0.000178959 -97.5913 3.00019 -179.993
2253.03 30.0002 0.00337284 2 90 2 90 0.000400289 61.9303 0.000178164 -97.5913 3.00019 -179.993
2263.04 30.0002 0.00335792 2 90 2 90 0.000398518 61.9303 0.000177376 -97.5913 3.00019 -179.993
2273.05 30.0002 0.00334313 2 90 2 90 0.000396764 61.9303 0.000176595 -97.5913 3.00019 -179.993
2283.05 30.0002 0.00332848 2 90 2 90 0.000395024 61.9303 0.000175821 -97.5913 3.00019 -179.993
2293.06 30.0002 0.00331395 2 90 2 90 0.0003933 61.9303 0.000175053 -97.5913 3.00019 -179.993
2303.07 30.0002 0.00329954 2 90 2 90 0.000391591 61.9303 0.000174293 -97.5913 3.00018 -179.993
2313.08 30.0002 0.00328527 2 90 2 90 0.000389896 61.9303 0.000173538 -97.5914 3.00018 -179.993
2323.09 30.0002 0.00327111 2 90 2 90 0.000388217 61.9302 0.000172791 -97.5914 3.00018 -179.993
2333.1 30.0002 0.00325708 2 90 2 90 0.000386551 61.9302 0.00017205 -97.5914 3.00018 -179.993
2343.11 30.0002 0.00324317 2 90 2 90 0.0003849 61.9302 0.000171315 -97.5914 3.00018 -179.994
2353.12 30.0002 0.00322937 2 90 2 90 0.000383263 61.9302 0.000170586 -97.5914 3.00018 -179.994
2363.13 30.0002 0.00321569 2 90 2 90 0.000381639 61.9302 0.000169863 -97.5914 3.00018 -179.994
2373.14 30.0002 0.00320213 2 90 2 90 0.00038003 61.9302 0.000169147 -97.5914 3.00018 -179.994
2383.14 30.0002 0.00318868 2 90 2 90 0.000378434 61.9302 0.000168437 -97.5915 3.00018 -179.994
2393.15 30.0002 0.00317535 2 90 2 90 0.000376851 61.9302 0.000167732 -97.5915 3.00018 -179.994
